AcademicYear,LA,LAEstab,SchoolName,URN
201718,202,2021048,The Thomas Coram Centre,100005
201718,202,2021101,Camden Primary Pupil Referral Unit,100007
201718,202,2022775,Gospel Oak Primary & Nursery School,100025
201718,202,2023340,Emmanuel,100030
201718,202,2023568,St. Paul's C.E. Primary,100046
201718,202,2024275,Hampstead School,100052
201718,202,2024285,Acland Burghley School,100053
201718,202,2027137,CCFL SPECIAL SCHOOL,100092
201718,203,2032071,Morden Mount,100114
201718,203,2032275,HALSTOW,143597
201718,203,2032471,Plumcroft Primary,100140
201718,203,2032662,Wyborne Primary School,100146
201718,203,2034077,Eltham Hill School,100182
201718,203,2034271,Stationers' Crown Woods Academy,141309
201718,204,2041051,Comet Nursery School & Children's Centre,100213
201718,204,2042003,Halley House,141750
201718,204,2042444,NORTHWOLD PRIMARY SCHOOL,141576
201718,204,2042487,Queensbridge Primary,100235
201718,204,2042592,Thomas Fairchild Community School,100243
201718,204,2042654,WOODBERRY DOWN PRY,100248
201718,204,2042872,Benthal Primary School,100260
201718,204,2043000,ST JOHN AND ST JAMES SCHOOL,132137
201718,204,2043572,ST. PAUL'S WITH ST. MICHAEL'S,100269
201718,204,2043659,St Scholastica's RC School,100274
200607,204,2044312,Homerton College of Technology,100280
201718,205,2052003,Ark Swift Primary Academy,139820
201213,205,2052089,Canberra Primary School,100325
201718,205,2052577,SULIVAN PRIMARY SCHOOL,143214
201718,205,2053354,HOLY CROSS RC PRIMARY,100345
201718,205,2053600,St. Stephen's CE JMI,100353
201718,205,2053648,St Thomas of Canterbury Catholic Primary School,100357
201718,205,2054315,Fulham Cross Girls' School & Languages College,139365
201415,205,2054319,Hurlingham and Chelsea School,100361
201718,205,2056906,Hammersmith Academy,136172
201718,206,2062251,Gillespie Primary School,100405
201718,206,2062596,Thornhill JMI,100425
201718,206,2062803,Tufnell Park JMI,100430
201718,206,2062805,Highbury Quadrant,100431
201718,206,2063527,St  Mary's Islington,100446
201718,206,2063606,St. Andrew's,100448
201718,206,2067001,The Bridge ILS,141605
201718,207,2071010,Golborne Children's Centre,100472
201718,207,2072060,Bousfield Primary School,100480
201718,207,2072121,Colville Primary School,100481
201718,207,2074000,Kensington Aldridge Academy,140212
201718,207,2074681,St Thomas More Language College,100502
201718,208,2082575,SUDBOURNE PRIMARY SCHOOL,100584
201718,208,2082783,Crown Lane Primary School,100593
201718,208,2082808,ALLEN EDWARDS PRIMARY SCHOOL,100598
201718,208,2082868,HERBERT MORRISON,100604
201718,208,2082903,Kings Avenue Primary School,133315
201718,208,2083403,St Andrews Church of England Primary School,100613
201718,208,2083499,St Lukes Primary School,100618
201718,208,2083641,ST. HELEN'S CATHOLIC,100623
201718,208,2084003,Trinity Academy,140966
201718,208,2085203,St Bede's Catholic Infant and Nursery School,100631
201718,208,2085403,ARCHBISHOP TENISON'S,100640
201718,209,2092000,Adamsrill Primary School,100671
201718,209,2092127,Cooper's Lane Primary School,100676
201718,209,2092197,Elfrida Primary School,100681
201718,209,2092267,Grinling Gibbons Primary School,100685
201718,209,2092307,Holbeach Primary School,100688
201718,209,2092342,John Stainer Community Primary School,100689
201718,209,2092869,Myatt Garden Primary School,100713
201718,209,2092878,Ashmead Primary School,100716
201718,209,2093301,All Saints Church of England Primary School,100719
201718,209,2093472,St John Baptist Southend Church of England Primary School,100728
201718,209,2093597,St Stephen's Church of England Primary School,100734
201718,209,2093650,St William of York Catholic Primary School,100737
201718,209,2094802,Bonus Pastor Catholic College,100752
201718,209,2095200,Turnham Primary Foundation School,100753
201718,209,2096906,Haberdashers' Aske's Knights Academy,135070
201718,210,2101104,Southwark Inclusive Learning Service,135260
201718,210,2102100,Charles Dickens Primary School,100781
201718,210,2102138,Crampton Primary School,100784
201718,210,2102257,Goodrich Community Primary School,100790
201718,210,2102293,Heber Primary School,100793
200708,210,2102344,Joseph Lancaster Primary School,100799
201718,210,2103435,St Francis RC Primary School,100826
200607,210,2104215,Walworth School,100843
201718,210,2105402,St Thomas the Apostle College,100857
200607,210,2106900,Bacon's College,100871
201718,210,2106911,Bacon's College,135401
201718,210,2107174,Tuke School,100880
201718,211,2112056,Bonner Primary School,100891
201718,211,2112059,"Old Palace J, M & I School",100892
201718,211,2112110,Chisenhale Primary School,100896
201718,211,2112118,Columbia Primary School,100897
201718,211,2112145,Culloden Primary A Paradigm Academy,140064
201718,202,2021100,CCfL KS4 PRU,100006
201718,202,2022002,King's Cross Academy,140686
201718,202,2022438,NEW END SCHOOL,100019
201718,202,2022502,Rhyl Primary,100021
201718,202,2022842,Christopher Hatton School,130342
201718,202,2023327,CHRIST CHURCH C.E.PRIMARY,100029
201718,202,2023391,THE ROSARY R C PRIMARY SCHOOL,100035
201718,202,2023441,St George the Martyr School,100040
201718,202,2023546,St. Michael's C.E. Primary,100044
201718,202,2023649,St.Eugene de Mazenod,100047
201718,203,2031006,Pound Park Nursery  School,100098
201718,203,2031022,Robert Owen Early Years Centre,100102
201718,203,2032106,Cherry Orchard Primary School,100115
201718,203,2032790,BROOKLANDS PRIMARY SCHOOL,143210
201718,203,2032902,NIGHTINGALE PRIMARY SCHOOL,100160
201718,203,2032919,Timbercroft Primary School,143209
201718,203,2032924,Conway Primary School,132800
201718,203,2033331,Christ Church Shooters Hill,100166
201718,203,2033481,St. Joseph's (RC) Primary,100169
201718,203,2033632,St.Thomas a Becket,100177
201718,203,2033666,St Margaret Clitherow RC,100180
201718,203,2034130,Plumstead Manor School,100183
201718,203,2034250,Woolwich Polytechnic School,141163
201718,204,2042421,Millfields Community School,100231
201718,204,2042534,GAYHURST PRIMARY SCHOOL,130303
201718,204,2042539,SEBRIGHT PRIMARY SCHOOL,100240
201718,204,2042779,Kingsmead Primary School,100250
201718,204,2042864,GRAZEBROOK PRIMARY SCHOOL,100258
201718,204,2043358,Holy Trinity,100263
201718,204,2043663,SIMON MARKS JEWISH PRIMARY SCH,100275
201718,204,2043665,Mossbourne Parkside Academy,142255
201718,204,2043666,SPRINGFIELD COMMUNITY PRIMARY SCHOOL,121792
201718,204,2044318,Yesodey Hatorah Senior Girls School,133599
201718,204,2044641,OUR LADY'S CONVENT HIGH SCHOOL,100282
201718,205,2051101,Bridge AP Academy,139509
201718,205,2051106,Courtyard AP Academy,139541
201718,205,2052444,OLD OAK PRIMARY SCHOOL,100335
201718,205,2053463,S. Johns Walham Green CE,100349
201718,205,2056394,Westside Academy Trust,140201
201718,206,2061033,Kate Greenaway Nursery School,100385
201718,206,2062128,Copenhagen,100401
201718,206,2062429,Moreland JMI,100415
201718,206,2062624,Vittoria Primary School,100426
201718,206,2062643,WILLIAM TYNDALE,137566
201718,206,2062852,Montem Primary School,131218
201718,206,2064325,Arts & Media School Islington,131690
201718,207,2071053,Chelsea Open Air Nursery School & Children's Centre,100474
201718,207,2071054,Maxilla Nursery,100475
201718,207,2072001,Kensington Primary Academy,140213
201718,207,2072030,Barlby Primary School,100478
201718,207,2072050,Bevington Primary School,100479
201718,207,2072594,Thomas Jones Primary School,100488
201718,207,2073417,St Barnabas & St Philip's Sch.,100493
201718,207,2073541,St Cuthbert with St Matthias,100498
201718,207,2073613,SERVITE R.C. PRIMARY SCHOOL,100500
201718,208,2081055,Maytree Nursery School & Children's Centre,100553
201718,208,2082459,Paxton Primary School,100577
201718,208,2082504,Richard Atkins Primary School,100578
201718,208,2082617,Vauxhall Primary School,100588
201718,208,2083000,Jubilee Primary School,133662
201718,208,2083307,ARCHBISHOP SUMNER,100609
201718,208,2083493,St Leonard's Church of England Primary school,100617
201718,208,2083502,St Mark's Primary School,100619
201718,208,2084322,Platanos College,136450
201718,208,2085204,St Andrews Catholic Primary,100632
201718,208,2085209,Julian's Primary School,100602
201718,208,2085950,Turney School,100643
201718,209,2091011,Chelwood Nursery School,100668
201718,209,2092001,Haberdashers' Aske's Hatcham Temple Grove Free School,139672
201718,209,2092163,Downderry Primary School,100679
201718,209,2092390,Lucas Vale Primary School,100695
201718,209,2092529,Rushey Green Primary School,100701
201718,209,2092571,Stillness Infant School,100705
201718,209,2092818,Sir Francis Drake Primary School,100712
201718,209,2093315,St Mary Magdalen's Catholic Primary School,100720
201718,209,2093325,St. George's CE Primary School,100721
201718,209,2093360,Holy Trinity Church of England Primary School,100723
201718,209,2093548,St Michael's Church of England Primary School,100731
201516,209,2093654,St Winifreds Junior School,100738
201718,209,2094047,Deptford Green School,100740
201718,209,2095201,Prendergast Vale School,135843
201718,209,2096905,Haberdashers' Aske's Hatcham College,135073
201718,209,2096907,St Matthew Academy,135264
201112,209,2097105,Pendragon School,100762
201718,210,2101025,Ann Bernadt Nursery School,100768
201718,210,2102000,Southwark Free School,138263
201718,210,2102001,Harris Free School Peckham,138270
201718,210,2102008,Goose Green Primary School,145130
201718,202,2021103,CCFL KEY STAGE 3 PRU,134643
201718,202,2022219,FLEET PRIMARY SCHOOL,100014
201718,202,2023323,Christ Church C. of E. Primary NW3,100028
201718,202,2023370,Kentish Town C. of E. Primary,100034
201718,202,2024000,The UCL Academy,137181
201718,202,2027008,Frank Barnes School for Deaf Children,100091
201718,203,2032018,Millennium Primary School,143211
201718,203,2032266,Greenacres Primary School,100128
201718,203,2032598,Thorntree School,100142
201718,203,2032885,FOXFIELD PRIMARY,143592
201718,203,2032915,Greenslade Primary,100162
201718,203,2032916,Mulgrave Primary School and Early Years Centre,100163
201718,203,2032925,EGLINTON PRIMARY SCHOOL,132827
201718,203,2033500,St Margaret's CE Primary School,100170
201718,203,2033561,ST PATRICKS,100173
201718,203,2033604,St Thomas More Catholic School,100176
201718,203,2033657,Holy Family Catholic,100178
201718,203,2033662,NOTRE DAME CATHOLIC PRIMARY SCHOOL,100179
200809,203,2033669,Charlotte Turner Primary School,134013
201718,203,2033670,Discovery Primary School,131109
201718,203,2034001,Greenwich Free School,138245
201718,204,2042001,The Olive School Hackney,139814
201718,204,2042120,Colvestone Primary School,100221
201718,204,2042388,London Fields Primary School,100230
201718,204,2042489,RANDAL CREMER,100236
201718,204,2042564,Southwold Primary School,100242
201718,204,2042636,Shoreditch Park Primary School,100245
201718,204,2042861,Baden Powell Primary School,100255
201718,204,2042865,Parkwood Primary School,100259
201718,204,2043371,Our Lady & St Joseph Primary School 2017-18,100264
201718,204,2043664,Lubavitch Ruth Lunzer Primary Girls' School,134639
201718,204,2044003,Mossbourne Victoria Park Academy,140210
201718,204,2044302,CLAPTON GIRLS' ACADEMY,137442
201718,204,2044310,STOKE NEWINGTON SCHOOL,100279
201718,205,2053578,St Peters C .E. Primary School,100352
201718,206,2061101,New River College Primary,100388
201718,206,2061110,New River College Medical,134274
201718,206,2062809,Ashmount School,100432
201718,206,2063465,St John's Upper Holloway CE School,100439
201718,206,2063501,St Mark's CE JMI,100444
200607,206,2063514,St Mary Magdalene CE School,100445
201718,206,2063643,Blessed Sacrament RC JMI,100451
201718,206,2064001,City of London Academy Highgate Hill,143659
201718,206,2064651,St  Aloysius' College.,100459
201617,206,2064704,Mount Carmel Catholic College for Girls,100460
201718,206,2066906,"City Of London Academy, Islington",135587
201718,207,2071100,Latimer AP Academy,140807
201718,207,2072456,Park Walk,100486
201718,207,2073356,Holy Trinity School,100490
201718,207,2073477,St. Joseph's R.C. Primary,100496
201718,207,2073504,ST MARY ABBOTS SCHOOL,100497
201718,207,2075402,Cardinal Vaughan Memorial School,141931
201718,208,2082794,Elm Wood School,100597
201718,208,2083642,Orchard Primary School,134507
201718,208,2084005,South Bank Engineering UTC,142905
201718,208,2085205,Immanuel and St Andrew Church of England Primary School,100633
201718,209,2092029,Baring Primary School,100673
201718,209,2092225,Forster Park Primary School,100683
201718,209,2092347,Kelvin Grove Primary School,100690
201718,209,2092403,Marvels Lane Primary School,100696
201718,209,2092535,Sandhurst Junior School,100702
201718,209,2092887,Brindishe Lee Primary School,100717
201213,209,2094041,Crossways Sixth Form,134194
201718,209,2094204,Sydenham School,100741
201718,209,2094636,Trinity Church of England School,100749
201112,209,2097149,Meadowgate Primary School,100764
201718,209,2097182,Watergate School,100766
201718,210,2102003,Albion Primary School,100774
201718,210,2102004,Harris Primary Academy East Dulwich,140937
201718,210,2102007,Galleywall Primary School,142875
201718,210,2102169,Dulwich Hamlet Junior School,136665
201718,210,2102351,Keyworth Primary School,100800
201718,210,2102500,Redriff Primary School,137648
201718,210,2102607,Tower Bridge Primary School,100813
201718,210,2102848,Phoenix Primary School,100817
201718,210,2103492,St Jude's Church of England Primary School,100835
201718,210,2104003,The Charter School East Dulwich,142178
200607,210,2104725,Archbishop Michael Ramsey TC,100850
201718,210,2106905,City of London Academy,134222
201718,210,2106912,Ark Globe Academy,135584
201718,210,2106913,Harris Boys Academy East Dulwich,135816
201718,210,2107007,Highshore School,100872
201718,210,2107048,SPA School,100873
201718,210,2107064,Newlands Academy,140138
201718,211,2112004,Lansbury Lawrence Primary School,133574
201718,211,2112159,The Clara Grant Primary School,100901
201718,211,2112270,Hague Primary School,100903
201718,211,2112908,Osmani Primary School,100934
201718,211,2112910,Hermitage Primary School,100936
201718,201,2013614,Sir John Cass's Foundation Primary School,100000
201718,202,2022036,Beckford Primary School,100009
201718,202,2022507,Richard Cobden Primary,100022
201718,202,2022603,Torriano primary school,100023
201617,202,2023401,St Aloysius Catholic Infant School,100038
201718,202,2023429,St Dominic's Catholic Primary School,100039
201718,202,2023521,St Mary and St Pancras CE Primary School,100043
201718,202,2024196,Regent High School,100051
201718,202,2024611,Camden School for Girls,100054
201718,202,2025401,La Sainte Union Catholic School,100059
201718,203,2031001,Rachel McMillan Nursery School and Children's Centre,100097
201718,203,2031016,Abbey Wood Nursery School,100099
201718,203,2032271,Haimo Primary School,100129
201718,203,2032299,Henwick Primary,100131
201718,203,2032552,Sherington Primary School,100141
201718,203,2032656,Woodhill Primary School,143594
201718,203,2032801,Boxgrove,100150
201718,203,2032851,Wingfield Primary School,100154
201718,203,2033338,ELTHAM CE,100167
201718,203,2034000,Harris Academy Greenwich,138449
201718,203,2034682,St Ursula's Convent School,100193
201718,203,2037199,Charlton,138547
201718,204,2042000,Lubavitch House Junior Boys School,138241
201718,204,2042048,Berger Primary School,100218
201718,204,2042238,Gainsborough Community Primary School,100225
201718,204,2042376,Lauriston School,100229
201718,204,2042431,Morningside Primary School,100232
201718,204,2042859,Jubilee Primary School,100253
201718,204,2042898,Hoxton Garden Primary School,131141
201718,204,2042899,Betty Layward,131706
201718,204,2044283,HAGGERSTON SCHOOL,100277
201718,204,2046010,The Boxing Academy,143103
201718,204,2046905,Mossbourne Community Academy,134693
201718,204,2046906,The Petchey Academy,131062
201718,204,2046908,City Academy Hackney,135835
201718,204,2046909,Skinners' Academy,136137
201718,205,2052005,Langford Primary School,141685
201718,205,2052061,BRACKENBURY PRIMARY SCHOOL,100324
201718,205,2052309,Thomas's Academy,142256
201516,205,2052367,Langford Primary School,100332
201718,205,2052555,Sir John Lillie,100338
201718,205,2053645,St John XXIII Catholic Primary School,100355
201718,205,2054003,TBAP 16-19 Academic AP Academy,142873
201718,205,2055400,The London Oratory School,137157
201718,205,2057204,CAMBRIDGE SCHOOL,100382
201718,206,2061112,The Family School,141130
201718,206,2062166,Drayton Park School,100402
201718,206,2062170,Duncombe Primary School,100403
201718,206,2062279,Hanover Primary School,100407
201718,206,2062666,Yerbury JMI,100429
201718,206,2063471,St John's Highbury Vale C of E,100440
201718,206,2063633,Christ The King JMI,100450
201718,206,2064000,Stem Academy,139793
201718,206,2067000,St Mary Magdalene Academy,139418
201718,206,2067146,Samuel Rhodes School,100469
201718,207,2072399,Marlborough Primary School,100483
201718,207,2074320,Holland Park School,140134
201718,208,2082295,HENRY CAVENDISH PRIMARY SCHOOL,100567
201718,208,2082591,Telferscot Primary School,100586
201718,208,2082657,Woodmansterne School,100590
201718,208,2082785,Fenstanton Primary School,100595
201718,208,2082899,ROSENDALE PRIMARY SCHOOL,144308
201718,208,2082902,Stockwell Primary,100582
201718,208,2082905,Loughborough Primary School and Children's Centre,133584
201718,208,2083329,Christ Church Streatham CE,100611
201718,208,2083466,St John's Angell Town Primary,100615
201718,208,2084002,King's College London Mathematics School,140564
201718,208,2084321,LILIAN BAYLIS TECHNOLOGY,100625
201718,208,2085202,Corpus Christi Catholic School,137295
201718,208,2085207,Durand Academy Trust,136288
201718,208,2085402,Dunraven School,137093
201718,208,2085405,The London Nautical School,100642
201718,208,2087115,Elm Court School,100659
201718,209,2092068,Beecroft Garden Primary,100674
201718,209,2092381,Brindishe Manor,100693
201718,209,2092491,Rangefield Primary School,100699
201718,209,2092605,Torridon Junior School,100707
201718,209,2092815,Eliot Bank Primary School,100711
201718,209,2094289,Forest Hill School,100745
200607,209,2094664,St Josephs Academy,100751
201718,209,2097141,New Woodlands School,100763
201718,210,2102005,Angel Oak Academy,141666
201718,210,2102085,Camelot Primary School,100780
201718,210,2102516,Robert Browning Primary School,100809
201718,210,2102853,Alfred Salter Primary School,100819
201718,210,2102858,Brunswick Park Primary School,131843
201718,210,2103337,Dulwich Village Church of England Infants' School,100823
201718,210,2103447,St.Georges Cathedral Catholic Primary,100828
201718,210,2103475,St Joseph's Roman Catholic Primary School,100832
201718,210,2105205,Friars Primary Foundation School,100855
201718,202,2022000,St Luke's Church of England Primary,136807
201718,202,2022065,Brecknock Primary School,100010
201718,202,2022078,Brookfield Primary School,100011
201718,202,2022290,Hawley Primary School,100015
201718,202,2022436,Netley Primary School & Centre for Autism,100018
201718,202,2022475,Primrose Hill Primary,100020
201718,202,2023359,Holy Trinity Primary School,100032
201718,202,2023361,HOLY TRINITY AND ST SILAS PRIMARY,100033
201718,202,2023482,St Josephs Primary School,100041
201718,202,2023655,Our Lady's R.C. Primary School,100048
201718,202,2024652,Maria Fidelis Roman Catholic Convent School FCJ,100055
201718,203,2032174,EALDHAM PRIMARY,100120
201718,203,2032242,Gallions Mount Primary School,100126
201718,203,2032410,Meridian Primary School,100137
201718,203,2032900,Heronsgate Primary School,100158
201718,203,2032917,Charlton Manor Primary School,100164
201718,203,2032920,South Rise,143596
201718,203,2033322,090 Christ Church J.M. & I.,100165
201718,203,2033382,Our Lady of Grace RC School,100168
201718,203,2033535,St. Mary's Catholic Primary School,144091
201718,203,2034243,Corelli College,137473
201112,203,2034257,The Eltham Foundation School,100188
201718,203,2034294,Thomas Tallis School,100190
201718,203,2034508,The John Roan School,100192
201314,203,2034715,Blackheath Bluecoat Church of England School,100195
201718,203,2037200,Waterside Primary,133401
201718,204,2041103,New Regents College,134635
201718,204,2042002,Mossbourne Riverside Academy,140426
201718,204,2042450,Orchard Primary School,100234
201718,204,2042860,NIGHTINGALE PRIMARY SCHOOL,100254
201718,204,2042900,St Dominics Catholic Primary School,133669
201718,204,2043618,ST. MARY'S C. OF E. PRIMARY SCHOOL,100271
200910,204,2044686,Skinners' Company's School for Girls,100283
201718,204,2044697,The Urswick School,100284
201718,204,2047171,Ickburgh School,100312
201718,205,2051056,James Lee Nursery,100317
201718,205,2052001,West London Free School Primary,139546
201718,205,2052002,ADDISON PRIMARY SCHOOL,100321
201718,205,2052134,Miles Coverdale Primary School,100326
201718,205,2052286,FULHAM PRIMARY SCHOOL,143213
201718,205,2052350,Kenmont Primary School,100331
201718,205,2052383,Lena Gardens Primary School,140634
200708,205,2052468,Peterborough JMI Primary,100336
201718,205,2052632,WENDELL PARK PRIMARY SCHOOL,100340
201718,205,2053378,ST AUGUSTINE'S PRIMARY SCHOOL,100347
201718,205,2053529,ST MARY'S PRIMARY SCHOOL,100350
201718,205,2053602,The Good Shepherd,100354
201718,205,2053650,NORMAND CROFT COMMUNITY SCHOOL,134273
201718,205,2054001,The Fulham Boys School,141135
201718,205,2054002,The Hurlingham Academy,141617
201718,205,2054632,LADY MARGARET SCHOOL,138607
201718,205,2057014,QUEENSMILL SCHOOL,100378
201718,205,2057203,JACK TIZARD SCHOOL,100381
200809,205,2057205,GIBBS GREEN,100383
201718,206,2062015,Ambler JMI,100397
201718,206,2062646,Winton Primary School,100428
201718,206,2062850,Prior Weston Primary School and Children's Centre,100434
201718,206,2062853,Newington Green Primary School,131325
201718,206,2062854,Canonbury Primary,131773
201718,206,2063334,Clerkenwell Parochial,100436
201718,207,2074801,Sion-Manning Catholic Girls' School,100503
201718,207,2075201,St Charles RC Primary School,100505
201718,208,2081027,Triangle Nursery,100550
201718,208,2081106,Park Campus Academy,140907
201718,208,2082626,Walnut Tree Walk School,100589
201718,208,2082898,Hill Mead Primary School,131340
201718,208,2083375,Macaulay CE Primary School,100612
201718,208,2083457,St John the Divine Church of England Primary School,100614
201718,208,2083491,St Jude's Primary School,100616
201718,208,2083621,Holy Trinity Church of England Primary School,100622
201718,208,2084731,The Elmgreen School,144309
201718,208,2087194,The Livity,133440
201718,209,2091002,Clyde Early Childhood Centre,100667
201718,209,2092108,Childeric Primary School,100675
201718,209,2092289,Haseltine Primary School,100686
201718,209,2092606,Torridon Infant School,100708
201718,209,2092782,John Ball Primary School,100709
201718,209,2093344,Good Shepherd RC School,100722
201718,209,2093416,St Augustine's Primary and Nursery,100725
201718,209,2093454,St James's Hatcham Church of England Primary School,100727
201718,209,2093478,St Josephs Catholic Primary School,100729
200607,209,2093642,Our Lady Of Lourdes,100736
201718,209,2097180,Greenvale School,100765
201718,210,2101035,Dulwich Wood Nursery School,100769
201718,210,2102006,The Belham Primary School,142090
201718,210,2102263,Grange Primary School,100791
201718,210,2102365,Dulwich Wood Primary School,100801
201718,210,2102855,Oliver Goldsmith Primary School,100821
201718,210,2102142,Crawford Primary School,100785
201415,210,2102255,Gloucester Primary School,100789
201718,210,2102308,Hollydale Primary School,100794
201718,210,2102335,John Donne Primary School,140507
201718,210,2102392,Lyndhurst Primary School,100802
201718,210,2102411,Michael Faraday School,100803
201718,210,2102562,Southwark Park School,100812
201718,210,2103399,St James the Great Primary School,100825
201718,210,2103460,St John's and St Clement's CE Primary,100830
201718,210,2103516,Peter Hills,100837
201718,210,2104000,"Compass School, Southwark",139587
201718,210,2104001,Ark All Saints Academy,139718
201718,210,2105200,St Francesca Cabrini Primary School,100851
201011,210,2105208,Surrey Square Infants School,131317
201718,210,2106909,Ark Walworth Academy,135315
201718,210,2107186,Cherry Garden School,100881
201718,211,2112000,Canary Wharf College East Ferry,137016
201718,211,2112001,Old Ford Primary A Paradigm Academy,140096
201718,211,2112623,Virginia Primary School,100926
201718,211,2112893,Cubitt Town Infants' School,100932
201718,211,2112999,Harry Gosling Primary School,131737
201718,211,2113350,Stepney Greencoat Church of England Primary School,100946
201718,211,2113619,English Martyrs RC Primary School,100962
201718,211,2114003,Canary Wharf College 3,142879
201718,211,2114276,Stepney Green Maths & Computing College,100969
201718,211,2114505,George Green's School,100974
200607,211,2117055,Harpley School,100985
201718,211,2117169,Stephen Hawking School,131023
201718,212,2121057,Somerset Nursery School & Children's Centre,100992
201718,212,2122001,Mosaic Jewish Primary,139687
201718,212,2122007,Westbridge Primary School,140682
201718,212,2122467,Penwortham Primary School,101016
201718,212,2122633,West Hill,101024
201718,212,2122786,Heathmere Primary School,101029
201718,212,2123304,All Saints' C of E Primary School,101034
201718,212,2123434,St. Faith's School,101043
201718,212,2125204,Honeywell Junior School,101011
200607,212,2126900,ADT College,101092
201718,212,2127067,Linden Lodge School,101093
201718,212,2127077,Bradstow School,101095
201112,212,2127208,Elsley School,131024
201718,213,2132208,Essendine Primary School,101111
201718,213,2133306,All Souls CE Primary School,101121
201718,213,2133473,St. Joseph's Catholic Primary School,101133
201718,213,2133511,St Mary Magdalene School,101135
201718,213,2133582,ST PETERS EATON SQUARE PRIMARY,101140
201718,213,2134673,The St Marylebone School,137353
201718,213,2134723,St. Augustine's High School,101154
201718,213,2134809,St George's School Westminster,139369
201718,213,2136905,Paddington Academy,130912
201718,213,2136906,Westminster Academy,131262
201112,301,3012000,CAMBELL JUNIOR,101185
201617,301,3012001,The James Cambell Primary School,101186
201314,301,3012004,DOROTHY BARLEY JUNIOR SCHOOL,101187
201718,301,3012033,GRAFTON PRIMARY,101206
201718,301,3012043,MARSH GREEN PRIMARY,101211
201718,301,3012047,RUSH GREEN PRIMARY SCHOOL,101212
200708,301,3012058,VALENCE JUNIOR,101221
201415,301,3012062,THAMES VIEW JUNIOR,101225
201718,301,3012065,Five Elms Primary School,101228
201718,301,3012070,RICHARD ALIBON PRIMARY,130357
201718,301,3012071,MONTEAGLE PRIMARY,130340
201718,301,3012074,SOUTHWOOD PRIMARY,131845
201718,301,3013507,George Carey Church of England Primary School,136431
201718,301,3014005,East London UTC Ltd,140945
201718,302,3021002,Moss Hall Nursery,101253
201213,302,3022000,Parkfield Primary School,101257
201718,302,3022020,Alma Primary,139562
201718,302,3022054,Woodridge  Primary School,101298
201718,302,3022060,WHITINGS HILL PRIMARY SCHOOL,101304
201718,302,3022073,Danegrove JMI School,101314
201718,302,3023311,St Mary's C E Primary School N3 1BT,101323
201718,302,3023314,St Pauls CE Primary School,101326
201718,302,3023317,"All Saints' CE Primary School, N20 9EZ",101329
201718,302,3023507,ST. THERESA'S R.C. PRIMARY SCHOOL,101335
201718,302,3023513,Menorah Primary School,101341
201718,302,3023515,Independent Jewish Day School,137303
201718,302,3023516,Hasmonean Primary School,130998
201718,302,3023524,Beit Shvidler Primary School,136402
201718,302,3024000,St Andrew the Apostle Greek Orthodox School,139410
201718,302,3025400,Hendon School,137645
201718,303,3032005,East Wickham Primary School,136599
201718,303,3032023,St Augustine of Canterbury Pr.,139213
201718,303,3032033,Belmont Primary School,101422
201718,303,3032042,BIRKBECK PRIMARY SCHOOL,101426
201718,303,3032049,LONGLANDS PRIMARY SCHOOL,101429
201718,303,3032067,Sherwood Park Primary School,140532
201718,303,3033503,ST FIDELIS CATHOLIC  PRIMARY SCHOOL,101458
201718,303,3034002,Bexleyheath Academy,137138
201718,211,2112147,Cyril Jackson Primary School,100900
201718,211,2112402,Marner Primary School,100912
201718,211,2112446,Olga Primary School,100916
201011,211,2112519,Thomas Buxton Junior School,100918
201718,211,2112909,Shapla Primary School,100935
201718,211,2112919,Smithy Street School,100941
201718,211,2112920,Bygrove Primary School,144236
201718,211,2113431,St Edmund's Catholic Primary School,100951
201718,211,2114105,Langdon Park School,100966
201718,211,2114277,St Paul's Way Trust School,143379
201718,211,2117084,Bowden House School,100986
201718,211,2117170,Cherry Trees School,131608
201718,211,2117171,Ian Mikardo High School,131598
201718,212,2121036,Eastwood Nursery School,100991
201718,212,2121103,Wandsworth Hospital and Home Tuition Unit,108892
201718,212,2122000,Tooting Primary School,139592
201718,212,2122034,Beatrix Potter Primary,100997
201718,212,2122067,Broadwater Primary School,101002
201718,212,2122545,Shaftesbury Park School,101020
201718,212,2122558,SMALLWOOD PRIMARY SCHOOL,101021
201718,212,2123422,St Boniface RC School,101042
201718,212,2123444,St George's CE Primary School,101044
201718,212,2123528,St Mary's RC School,101048
201718,212,2124008,Saint John Bosco College,135762
201718,212,2124328,Chestnut Grove Academy,136883
201011,212,2125404,John Paul II School,101062
201718,212,2127000,Nightingale Community Academy,143175
201718,213,2131101,Beachcroft AP Academy,140806
201718,213,2132003,Pimlico Primary School,139898
201718,213,2132005,Ark Paddington Green Primary Academy,143148
201718,213,2132778,George Eliot Primary School,101115
201718,213,2133316,BURDETT COUTTS & TOWNSHEND FOUNDATION CE VA SCH,101122
201718,213,2133381,OUR LADY OF DOLOURS SCHOOL,101124
201718,213,2133496,ST. LUKE'S CE PRIMARY SCHOOL,101134
201718,213,2136907,King Solomon Academy,135242
201314,301,3012014,NORTHBURY INFANT SCHOOL,101197
200910,301,3014022,Dagenham Park Community School,101242
201718,301,3014028,The Sydney Russell School,141683
201718,301,3017001,Riverside Bridge School,142134
201718,302,3021100,The Pavilion,101255
201415,302,3021103,Discovery Bay,134676
201718,302,3022001,Etz Chaim Jewish Primary School,136938
201718,302,3022015,Coppetts Wood,101270
